name,station_id
medicine hat,71872
yorkton,71138
calgary,71877
camrose,71254
edmonton,71123
grande prairie,71940
lethbridge,71874
lloydminster,
olds,71258
red deer,71878
sherwood park,
st. albert,
stettler,71289
wainwright,71118
campbell river,71205
chilliwack,
clearbrook,
courtenay,
cranbrook,71880
delta,71563
duncan,
fort st john,71943
kamloops,71887
kelowna,71203
langley,
maple ridge,
mission,
nelson,71776
penticton,71889
port alberni,71475
quesnel,71103
salmon arm,71218
sechelt,
sidney,
trail,71683
vernon,71115
westbank,
white rock,71785
williams lake,71104
regina,71863
saskatoon,71866
swift current,71870
terrace,71951
okotoks,
