year	day	date	name
2005	Mon	Nov 28	Cyber Monday
2006	Mon	Nov 27	Cyber Monday
2007	Mon	Nov 26	Cyber Monday
2008	Mon	Dec 1	Cyber Monday
2009	Mon	Nov 30	Cyber Monday
2010	Mon	Nov 29	Cyber Monday
2011	Mon	Nov 28	Cyber Monday
2012	Mon	Nov 26	Cyber Monday
2013	Mon	Dec 2	Cyber Monday
2014	Mon	Dec 1	Cyber Monday
2015	Mon	Nov 30	Cyber Monday
2016	Mon	Nov 28	Cyber Monday
2017	Mon	Nov 27	Cyber Monday
2018	Mon	Nov 26	Cyber Monday
2019	Mon	Dec 2	Cyber Monday
2020	Mon	Nov 30	Cyber Monday
2021	Mon	Nov 29	Cyber Monday
2022	Mon	Nov 28	Cyber Monday
2023	Mon	Nov 27	Cyber Monday
2024	Mon	Dec 2	Cyber Monday
2025	Mon	Dec 1	Cyber Monday
2026	Mon	Nov 30	Cyber Monday
2027	Mon	Nov 29	Cyber Monday
2028	Mon	Nov 27	Cyber Monday
2029	Mon	Nov 26	Cyber Monday
2030	Mon	Dec 2	Cyber Monday
2031	Mon	Dec 1	Cyber Monday
2032	Mon	Nov 29	Cyber Monday
2033	Mon	Nov 28	Cyber Monday
2034	Mon	Nov 27	Cyber Monday
2035	Mon	Nov 26	Cyber Monday
2036	Mon	Dec 1	Cyber Monday
2037	Mon	Nov 30	Cyber Monday
2038	Mon	Nov 29	Cyber Monday
2039	Mon	Nov 28	Cyber Monday
2040	Mon	Nov 26	Cyber Monday
2041	Mon	Dec 2	Cyber Monday
2042	Mon	Dec 1	Cyber Monday
2043	Mon	Nov 30	Cyber Monday
2044	Mon	Nov 28	Cyber Monday
2045	Mon	Nov 27	Cyber Monday
2046	Mon	Nov 26	Cyber Monday
2047	Mon	Dec 2	Cyber Monday
2048	Mon	Nov 30	Cyber Monday
2049	Mon	Nov 29	Cyber Monday
