,city,ds
0,calgary,2019-12-30
1,calgary,2019-12-31
2,camrose,2019-12-30
3,camrose,2019-12-31
4,cranbrook,2019-12-28
5,cranbrook,2019-12-30
6,edmonton,2019-12-30
7,edmonton,2019-12-31
8,fort st john,2019-12-30
9,fort st john,2019-12-31
10,kamloops,2019-12-30
11,kamloops,2019-12-31
12,kelowna,2019-12-30
13,kelowna,2019-12-31
14,lethbridge,2019-12-30
15,lethbridge,2019-12-31
16,medicine hat,2019-12-30
17,medicine hat,2019-12-31
18,nelson,2014-01-23
19,nelson,2014-01-24
20,olds,2019-12-30
21,olds,2019-12-31
22,penticton,2019-12-30
23,penticton,2019-12-31
24,port alberni,2019-12-30
25,port alberni,2019-12-31
26,quesnel,2019-12-30
27,quesnel,2019-12-31
28,red deer,2019-12-30
29,red deer,2019-12-31
30,regina,2019-12-30
31,regina,2019-12-31
32,salmon arm,2019-12-30
33,salmon arm,2019-12-31
34,saskatoon,2019-12-30
35,saskatoon,2019-12-31
36,stettler,2019-12-30
37,stettler,2019-12-31
38,swift current,2019-12-30
39,swift current,2019-12-31
40,terrace,2019-12-30
41,terrace,2019-12-31
42,trail,2019-12-30
43,trail,2019-12-31
44,vernon,2019-12-29
45,vernon,2019-12-30
46,wainwright,2019-12-30
47,wainwright,2019-12-31
48,white rock,2019-12-30
49,white rock,2019-12-31
50,williams lake,2019-12-30
51,williams lake,2019-12-31
52,yorkton,2019-12-30
53,yorkton,2019-12-31
